date,start,stop,distance,calories,steps
2024-01-01,15:13,15:17,419,16,522
2024-01-01,15:18,15:33,636,22,897
2024-01-01,18:12,18:22,181,6,238
2024-01-01,19:34,19:38,156,5,213
2024-01-01,20:29,20:33,194,7,282
2024-01-01,20:43,20:48,132,4,192
2024-01-02,12:34,12:40,631,25,743
2024-01-02,12:56,13:01,461,18,585
2024-01-02,14:23,14:33,561,22,730
2024-01-02,16:28,16:36,275,9,356
2024-01-02,16:49,16:53,123,3,180
2024-01-02,17:09,17:20,550,20,695
2024-01-03,12:02,12:21,509,18,663
2024-01-03,12:35,12:42,321,11,416
2024-01-03,13:46,13:50,474,18,557
2024-01-03,16:30,16:39,477,16,610
2024-01-03,17:34,17:43,153,7,223
2024-01-03,19:41,20:02,1672,65,2172
2024-01-03,23:39,23:44,358,12,489
2024-01-03,23:45,23:50,520,20,639
2024-01-03,23:51,23:59,136,4,199
2024-01-04,08:37,08:41,447,17,530
2024-01-04,10:28,10:40,568,20,757
2024-01-04,11:32,11:46,103,3,150
2024-01-04,12:27,12:39,421,15,597
2024-01-04,13:14,13:51,3002,119,3842
2024-01-04,14:11,14:15,390,15,503
2024-01-04,14:21,14:27,556,21,706
2024-01-04,15:54,16:05,642,24,821
2024-01-04,17:34,17:40,655,27,786
2024-01-04,17:41,17:47,131,3,191
2024-01-04,18:25,18:37,501,19,661
2024-01-04,21:13,21:22,164,6,239
2024-01-05,10:36,10:41,594,23,683
2024-01-05,11:44,11:50,203,7,281
2024-01-05,14:31,14:48,610,22,812
2024-01-05,15:26,15:31,185,6,270
2024-01-05,16:37,16:43,634,24,762
2024-01-05,19:59,20:04,611,24,693
2024-01-05,20:05,20:24,1403,52,1832
2024-01-05,20:27,20:43,564,22,710
2024-01-05,20:51,20:55,444,17,539
2024-01-07,11:50,11:55,606,25,757
2024-01-07,12:57,13:09,558,23,729
2024-01-07,13:16,13:24,138,5,202
2024-01-07,16:19,16:23,80,2,117
2024-01-07,16:29,16:33,137,5,198
2024-01-07,17:05,17:09,86,2,126
2024-01-07,17:27,17:37,130,4,190
2024-01-07,17:43,17:51,225,6,328
2024-01-07,17:53,18:08,347,13,445
2024-01-07,18:34,18:41,430,16,556
2024-01-10,10:55,10:59,121,4,177
2024-01-10,11:13,11:17,114,3,167
2024-01-10,14:14,14:22,128,4,187
2024-01-10,14:40,14:44,131,5,191
2024-01-10,19:10,19:17,212,6,309
2024-01-11,08:51,08:55,477,19,597
2024-01-11,10:47,11:06,766,28,991
2024-01-11,13:03,13:20,550,20,700
2024-01-11,13:29,13:36,585,22,749
2024-01-11,13:37,13:42,517,20,637
2024-01-11,13:43,13:47,79,2,115
2024-01-11,13:54,13:58,416,16,505
2024-01-11,17:46,17:51,202,7,295
2024-01-11,20:23,20:29,117,4,171
2024-01-12,14:01,14:17,510,19,657
2024-01-12,14:18,14:22,132,4,193
2024-01-12,15:09,15:15,435,14,555
2024-01-12,17:04,17:14,99,3,144
2024-01-12,18:37,18:42,182,7,265
2024-01-12,19:00,19:06,435,16,558
2024-01-12,22:09,22:16,83,2,121
2024-01-13,09:17,09:26,508,21,661
2024-01-13,10:43,11:01,807,30,1064
2024-01-13,12:40,12:48,425,16,535
2024-01-13,13:15,13:19,110,4,160
2024-01-13,15:45,15:49,289,10,372
2024-01-13,18:05,18:10,163,3,237
2024-01-13,18:29,18:34,212,8,309
2024-01-13,18:36,18:49,135,3,197
2024-01-13,19:27,19:31,101,2,147
2024-01-14,11:50,12:02,553,26,657
2024-01-14,12:11,12:31,112,4,163
2024-01-14,12:44,12:49,69,3,101
2024-01-14,13:00,13:13,672,26,872
2024-01-14,13:14,13:21,249,6,344
2024-01-14,16:23,16:29,96,3,140
2024-01-14,17:02,17:10,876,37,1026
2024-01-14,17:11,17:27,602,23,773
2024-01-14,19:02,19:18,613,23,785
2024-01-14,19:26,19:39,569,22,740
2024-01-15,18:15,18:20,235,9,328
2024-01-15,19:06,19:19,713,28,899
