datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,sunelevation,icon
2023-06-07,23,16.1,19.3,23,16.1,19.3,84.2,0,0,0,,0,0,48.2,55.5,1016.2,41.2,10.2,127.7,11.2,5,10,2023-06-07T05:31:10,2023-06-07T20:31:47,71.9,partly-cloudy-day
2023-06-08,23.9,17.1,19.9,23.9,17.1,19.9,83.3,0,0,0,,0,0,41.4,57.8,1013.4,73.5,10.1,141.4,12.3,5,10,2023-06-08T05:30:56,2023-06-08T20:32:23,72,partly-cloudy-day
2023-06-09,23.9,18,20.3,23.9,18,20.3,82.4,0,0,0,rain,0,0,32.8,57.3,1011.5,68.9,10,114.6,9.9,4,10,2023-06-09T05:30:43,2023-06-09T20:32:57,72,partly-cloudy-day
2023-06-10,24.8,15.1,20.7,24.8,15.1,20.7,73.9,0,0,0,,0,0,26.3,57.4,1009,34.4,9.9,242.6,20.9,9,10,2023-06-10T05:30:33,2023-06-10T20:33:30,72.1,partly-cloudy-day
2023-06-11,26,16,21.1,26,16,21.1,71.4,0,0,0,,0,0,40.7,57.3,1007.9,46.6,10.2,240.1,20.6,9,10,2023-06-11T05:30:25,2023-06-11T20:34:01,72.2,partly-cloudy-day
2023-06-12,23,17.1,19.9,23,17.1,19.9,84.5,0.328,100,8.33,rain,0,0,42.5,60.7,1009.3,68.1,10,114.1,9.9,4,10,2023-06-12T05:30:19,2023-06-12T20:34:30,72.3,rain
2023-06-13,22.9,17.1,19.7,22.9,17.1,19.7,77.1,0.02,100,4.17,rain,0,0,41.4,60.9,1009.9,67.3,10.2,146.5,12.7,5,10,2023-06-13T05:30:14,2023-06-13T20:34:58,72.3,rain
2023-06-14,23,18,19.8,23,18,19.8,88.9,0.075,100,12.5,rain,0,0,25.6,32.6,1012.2,77.2,10.1,119.6,10.1,5,10,2023-06-14T05:30:12,2023-06-14T20:35:25,72.4,rain
2023-06-15,26.9,17.1,21.7,28.3,17.1,21.8,81.4,0,0,0,,0,0,40.7,60.7,1012.8,34.3,9.9,187.6,16,10,10,2023-06-15T05:30:12,2023-06-15T20:35:49,72.4,partly-cloudy-day
2023-06-16,28,19,22.9,29.2,19,23.2,71.9,0.014,100,4.17,rain,0,0,37.8,59.6,1007.6,35.2,10.2,240.2,20.7,8,30,2023-06-16T05:30:13,2023-06-16T20:36:12,72.4,rain
2023-06-17,26,19,21.9,26,19,21.9,85.2,6.974,100,12.5,rain,0,0,29.5,55.5,1004.8,86.3,10,117.9,10,5,30,2023-06-17T05:30:17,2023-06-17T20:36:33,72.5,rain
2023-06-18,25.9,19.1,22.3,25.9,19.1,22.3,82.6,23.169,100,12.5,rain,0,0,29.2,52.4,1008.4,80.5,9.5,149.1,12.9,7,10,2023-06-18T05:30:23,2023-06-18T20:36:53,72.5,rain
2023-06-19,25.9,21,22.9,25.9,21,22.9,79.3,1.558,100,12.5,rain,0,0,31.7,4.3,1012.2,62.7,9.9,137.7,12,8,10,2023-06-19T05:30:30,2023-06-19T20:37:10,72.5,rain
2023-06-20,26,19.9,22,26,19.9,22,77.5,0.078,100,4.17,rain,0,0,35.6,302.3,1015.4,56.6,9.6,228.2,19.7,9,10,2023-06-20T05:30:39,2023-06-20T20:37:26,72.5,rain
2023-06-21,27.8,17.1,22.2,27.8,17.1,22.3,74.7,0,0,0,,0,0,30.6,58.2,1016.2,24.6,9,247.5,21.3,9,10,2023-06-21T05:30:50,2023-06-21T20:37:40,72.5,partly-cloudy-day
2023-06-22,28.1,17.2,23.1,28.5,17.2,23.2,69.8,0,0,0,,0,0,39.2,57.5,1017.6,22.4,9.8,234,20.1,9,10,2023-06-22T05:31:03,2023-06-22T20:37:52,72.5,partly-cloudy-day
2023-06-23,29.1,19,24,29,19,24.1,67.8,0,0,0,,0,0,41.4,57.8,1017,14.2,10,239.6,20.5,9,10,2023-06-23T05:31:18,2023-06-23T20:38:02,72.5,clear-day
2023-06-24,30,19,24.5,30.7,19,24.6,62.9,0,0,0,,0,0,46.4,60.6,1014.5,3.7,10.2,258.3,22.3,9,10,2023-06-24T05:31:35,2023-06-24T20:38:10,72.5,clear-day
2023-06-25,27.1,19,23.3,28,19,23.5,74.9,0,0,0,,0,0,34.2,60.9,1011.2,15.7,10.2,219.8,18.9,9,10,2023-06-25T05:31:53,2023-06-25T20:38:16,72.5,clear-day
2023-06-26,26.9,18.1,23,27.9,18.1,23.1,74.2,0,0,0,rain,0,0,36.4,61.7,1009.3,54.2,9.4,203.3,17.7,7,10,2023-06-26T05:32:13,2023-06-26T20:38:20,72.4,partly-cloudy-day
2023-06-27,28.1,20,24.1,28.3,20,24.2,69.4,0.139,100,8.33,rain,0,0,39.6,57.1,1011.5,39.7,10.1,182.5,15.5,8,10,2023-06-27T05:32:35,2023-06-27T20:38:22,72.4,rain
2023-06-28,29,17.2,24.4,28.9,17.2,24.2,59.2,0,0,0,,0,0,26.6,59.5,1011,7.2,9.9,248,21.3,9,10,2023-06-28T05:32:59,2023-06-28T20:38:22,72.4,clear-day
2023-06-29,23,18.2,21.1,23,18.2,21.1,72.1,0.343,100,8.33,rain,0,0,42.5,57.1,1013.6,65.2,10.1,59.3,5.2,2,10,2023-06-29T05:33:24,2023-06-29T20:38:20,72.3,rain
2023-06-30,26.9,15.1,21.6,26.8,15.1,21.6,62.2,0,0,0,,0,0,27,57.4,1014.2,21.9,10.1,243.2,21.1,9,10,2023-06-30T05:33:51,2023-06-30T20:38:16,72.2,partly-cloudy-day
2023-07-01,28.9,15.2,23.5,28.5,15.2,23.3,50.5,0,0,0,,0,0,30.2,64.8,1010.7,0,10.2,258.7,22.3,9,10,2023-07-01T05:34:19,2023-07-01T20:38:11,72.2,clear-day
2023-07-02,31.9,17.1,25.2,30.2,17.1,24.7,52.2,0,0,0,,0,0,19.8,43.6,1008.6,0,10.1,249.9,21.7,9,10,2023-07-02T05:34:49,2023-07-02T20:38:03,72.1,clear-day
2023-07-03,30.9,20.1,25.9,30.9,20.1,25.9,54.8,0,0,0,rain,0,0,42.5,60.3,1009.7,9.9,10,234.5,20.4,8,30,2023-07-03T05:35:20,2023-07-03T20:37:53,72,clear-day
2023-07-04,31,21.1,25.4,31.9,21.1,25.8,72.3,0,0,0,,0,0,49.7,58.1,1012.6,24.5,9.8,230.1,19.9,8,10,2023-07-04T05:35:53,2023-07-04T20:37:41,71.9,partly-cloudy-day
2023-07-05,27.1,22,24.5,29,22,24.8,79.6,0,0,0,,0,0,46.8,53.3,1011.1,56.1,10.2,92.7,8,3,5,2023-07-05T05:36:27,2023-07-05T20:37:26,71.8,partly-cloudy-day
2023-07-06,29.1,23,25.8,31.4,23,26.5,73.4,0.11,100,12.5,rain,0,0,38.5,55.1,1009.4,61.6,10.1,173.2,15,7,8,2023-07-06T05:37:03,2023-07-06T20:37:10,71.7,rain
2023-07-07,31,20.1,26.1,33,20.1,26.9,69.4,0,0,0,,0,0,34.2,338,1011.1,23.1,9.4,333.7,28.8,9,30,2023-07-07T05:37:40,2023-07-07T20:36:52,71.6,partly-cloudy-day
2023-07-08,26,21.1,24,26,21.1,24,71.8,1.914,100,16.67,rain,0,0,38.2,312.1,1013.1,84.7,10.1,102.7,8.9,4,10,2023-07-08T05:38:18,2023-07-08T20:36:32,71.5,rain
2023-07-09,25,18.1,21.5,25,18.1,21.5,67.3,5.479,100,16.67,rain,0,0,37.4,313.6,1015.5,79,9.6,36.8,3.2,2,10,2023-07-09T05:38:57,2023-07-09T20:36:10,71.4,rain
2023-07-10,28.1,17,23.3,27.7,17,23.2,62,0,0,0,,0,0,21.2,61.1,1017.4,25.7,10.1,247.6,21.5,9,10,2023-07-10T05:39:38,2023-07-10T20:35:46,71.3,partly-cloudy-day
2023-07-11,29.9,20.1,25.3,29.4,20.1,25.3,56.6,0,0,0,,0,0,29.2,237.7,1016.6,19.2,10.2,241.5,21,8,10,2023-07-11T05:40:20,2023-07-11T20:35:19,71.1,clear-day
2023-07-12,30.9,22.9,27,33,22.9,27.5,57.2,0,0,0,,0,0,24.1,280.3,1016.8,8.4,10.1,336.3,29,9,10,2023-07-12T05:41:03,2023-07-12T20:34:51,71,clear-day
2023-07-13,34,22,28.8,34.3,22,29.1,54.8,0,0,0,,0,0,19.1,246,1016.2,0,10.2,333.1,28.7,9,10,2023-07-13T05:41:47,2023-07-13T20:34:21,70.9,clear-day
2023-07-14,34.9,24,29.6,36.2,24,30.2,53.9,0,0,0,,0,0,38.9,65,1013.7,0,10.1,334.6,28.9,9,10,2023-07-14T05:42:32,2023-07-14T20:33:49,70.7,clear-day
2023-07-15,32,23,27.2,32.3,23,27.4,61.4,0,0,0,,0,0,49.3,60.6,1016.3,1.1,10.1,335,28.9,9,10,2023-07-15T05:43:18,2023-07-15T20:33:14,70.6,clear-day
2023-07-16,29.9,21,25,29.9,21,25.1,64.5,0,0,0,,0,0,48.6,58.3,1016.9,16.5,10.2,340.3,29.6,10,10,2023-07-16T05:44:05,2023-07-16T20:32:38,70.4,clear-day
2023-07-17,29.9,21,24.9,29.9,21,25,69.3,0,0,0,,0,0,51.5,57,1016.7,16.6,10.2,337.8,29.2,9,10,2023-07-17T05:44:53,2023-07-17T20:32:00,70.2,clear-day
2023-07-18,28.9,19.1,24.6,29.6,19.1,24.7,65.4,0,0,0,,0,0,45.7,55.6,1014.4,12.7,10.2,200.7,17.5,9,10,2023-07-18T05:45:42,2023-07-18T20:31:20,70.1,clear-day
2023-07-19,31.7,19.1,25.7,31.6,19.1,25.7,62.1,0.006,100,4.17,rain,0,0,44.6,60.8,1012.4,0.2,10.2,232.1,20,8,10,2023-07-19T05:46:32,2023-07-19T20:30:39,69.9,rain
2023-07-20,33.7,21,27.9,35.5,21,28.3,51.5,0,0,0,,0,0,37.1,51.7,1008.9,1.1,10.2,230.3,19.8,8,10,2023-07-20T05:47:23,2023-07-20T20:29:55,69.7,clear-day
2023-07-21,32.1,22.1,27.5,34.7,22.1,28.7,65.5,0,0,0,,0,0,40,50.6,1011.6,23.5,10.2,241.6,20.8,8,30,2023-07-21T05:48:14,2023-07-21T20:29:09,69.5,partly-cloudy-day
2023-07-22,33.8,22.1,28.3,33.6,22.1,28.6,61,0,0,0,,0,0,22.7,275.1,1014.3,10.3,9.8,342,29.6,9,10,2023-07-22T05:49:06,2023-07-22T20:28:22,69.3,clear-day
2023-07-23,34.8,25.9,29.7,37.3,25.9,31.3,54.3,0,0,0,,0,0,43.2,51.1,1013.5,7.8,10.2,321.4,27.7,9,30,2023-07-23T05:49:58,2023-07-23T20:27:33,69.1,clear-day
2023-07-24,30,23.1,26.3,30.9,23.1,26.5,66.1,0,0,0,,0,0,42.8,59,1015,36,10.2,185,15.9,9,30,2023-07-24T05:50:52,2023-07-24T20:26:42,68.9,partly-cloudy-day
2023-07-25,32.8,20,27.1,31.5,20,26.6,49.4,0,0,0,,0,0,23,118.5,1011.5,2.1,10.2,236.8,20.2,8,10,2023-07-25T05:51:45,2023-07-25T20:25:49,68.7,clear-day
2023-07-26,39.8,21.1,31.9,39.4,21.1,31.4,35.4,0,0,0,,0,0,21.2,239.8,1005,0,10.2,329.5,28.4,9,10,2023-07-26T05:52:40,2023-07-26T20:24:55,68.5,clear-day
2023-07-27,30.9,21,26.1,31.3,21,26.6,59.7,1.868,100,8.33,rain,0,0,64.4,42.8,1005.8,66.1,10.2,114.3,9.9,5,15,2023-07-27T05:53:35,2023-07-27T20:23:59,68.2,rain
2023-07-28,27.1,18.1,22.7,26.9,18.1,22.6,60.4,0,0,0,rain,0,0,42.1,56.2,1014.9,29,10.2,324.4,28.1,9,10,2023-07-28T05:54:30,2023-07-28T20:23:01,68,partly-cloudy-day
2023-07-29,29,17.1,23.2,28.4,17.1,23.1,58.2,0,0,0,,0,0,44.6,58,1012.5,1.6,10.2,325.3,28.2,9,10,2023-07-29T05:55:26,2023-07-29T20:22:02,67.8,clear-day
2023-07-30,28.1,17.2,23.3,28.6,17.2,23.4,64.1,0,0,0,,0,0,43.2,58.1,1011.4,17.9,10.2,322.8,28,9,10,2023-07-30T05:56:22,2023-07-30T20:21:01,67.6,clear-day
2023-07-31,28.1,19,23.7,28.6,19,23.8,67,0,0,0,,0,0,43.9,55.2,1008.9,26.7,10.2,321.5,27.9,9,10,2023-07-31T05:57:19,2023-07-31T20:19:58,67.3,partly-cloudy-day
2023-08-01,29.9,20.1,24.4,31.2,20.1,24.8,72,0,0,0,rain,0,0,41.4,54.2,1009.1,46.9,10.2,214.7,18.5,7,10,2023-08-01T05:58:16,2023-08-01T20:18:54,67.1,partly-cloudy-day
2023-08-02,31.8,19.2,25.9,31.3,19.2,26.1,63.4,0,0,0,,0,0,25.2,219.7,1009.1,14.5,10.2,316.1,27.3,9,10,2023-08-02T05:59:13,2023-08-02T20:17:48,66.8,clear-day
2023-08-03,35.9,22.1,29.8,35.4,22.1,29.7,46.1,0,0,0,,0,0,31.3,353.3,1010.3,1.9,10.2,312,27,9,10,2023-08-03T06:00:11,2023-08-03T20:16:41,66.6,clear-day
2023-08-04,36.1,25.1,30.2,36.5,25.1,30.4,44.3,0,0,0,,0,0,52.2,62.5,1010.2,0,10.2,314.1,27.1,9,10,2023-08-04T06:01:09,2023-08-04T20:15:33,66.3,clear-day
2023-08-05,32.7,23,27.4,35.9,23,28.9,70.7,0,0,0,,0,0,26.6,59.7,1006.7,12,10.2,314.3,27.1,9,10,2023-08-05T06:02:07,2023-08-05T20:14:23,66,clear-day
2023-08-06,34,22.1,28.4,35.2,22.1,29.1,63.6,0,0,0,,0,0,53.3,264.4,1003.1,12.9,9.2,254,22,9,10,2023-08-06T06:03:05,2023-08-06T20:13:11,65.8,clear-day
2023-08-07,31,24,27.2,33,24,27.7,58.9,0,0,0,,0,0,42.1,35.1,1008.4,15.1,10.2,239.5,20.7,10,10,2023-08-07T06:04:04,2023-08-07T20:11:59,65.5,clear-day
2023-08-08,28.9,23,24.8,30.2,23,25.1,72.9,0,0,0,rain,0,0,67,58.2,1011.3,62.6,10.2,112,9.6,8,10,2023-08-08T06:05:03,2023-08-08T20:10:44,65.2,partly-cloudy-day
2023-08-09,25,22,23.3,25,22,23.3,68.3,0.121,100,12.5,rain,0,0,53.6,57.9,1014.2,80.7,10.1,61.3,5.4,3,10,2023-08-09T06:06:02,2023-08-09T20:09:29,64.9,rain
2023-08-10,25.9,21.1,23.4,25.9,21.1,23.4,76.5,0.033,100,4.17,rain,0,0,30.2,26.4,1013.2,87.6,10.2,82.5,7.1,5,10,2023-08-10T06:07:01,2023-08-10T20:08:12,64.6,rain
2023-08-11,27,20.2,23.5,27.6,20.2,23.6,72.7,16.576,100,8.33,rain,0,0,32.4,45.9,1016,78.8,9.8,82.5,7.1,3,10,2023-08-11T06:08:00,2023-08-11T20:06:54,64.3,rain
2023-08-12,28.1,19.1,23.7,28.6,19.1,23.7,68.7,0,0,0,,0,0,59.4,58.3,1016.6,35.9,10.2,209,18.1,9,10,2023-08-12T06:08:59,2023-08-12T20:05:35,64,partly-cloudy-day
2023-08-13,29,22.1,24.6,29.5,22.1,24.8,74.9,0,0,0,rain,0,0,66.2,53.3,1014.8,65.8,10.2,130.2,11.3,10,10,2023-08-13T06:09:58,2023-08-13T20:04:15,63.7,partly-cloudy-day
2023-08-14,27.9,23.1,25.3,30.6,23.1,25.7,81.5,0.026,100,16.67,rain,0,0,59.7,54.4,1013.4,88.6,10,246.5,21.2,8,15,2023-08-14T06:10:58,2023-08-14T20:02:54,63.4,rain
2023-08-15,28.9,24,25.6,32.6,24,26.2,81.8,0.005,100,4.17,rain,0,0,27.7,301.3,1011.9,78,9.6,115.2,9.8,8,15,2023-08-15T06:11:57,2023-08-15T20:01:31,63.1,rain
2023-08-16,29.9,24,26.1,33.9,24,27.2,78.5,0.014,100,4.17,rain,0,0,38.9,51.5,1010.9,63.8,9.8,125.4,11.1,7,15,2023-08-16T06:12:57,2023-08-16T20:00:07,62.8,rain
2023-08-17,30.1,23.1,26.4,33.4,23.1,27.6,77.4,0,0,0,,0,0,58.7,53.6,1010.5,57.1,10.2,122.8,10.5,7,5,2023-08-17T06:13:56,2023-08-17T19:58:43,62.5,partly-cloudy-day
2023-08-18,32,24,26.7,34.7,24,27.8,73.8,0,0,0,,0,0,60.5,54.2,1011,45.7,10.2,140.3,12.1,9,5,2023-08-18T06:14:56,2023-08-18T19:57:17,62.2,partly-cloudy-day
2023-08-19,31.1,24.1,26.6,33.2,24.1,27.3,71.5,0,0,0,,0,0,63,56,1011.5,56.8,10.1,196.3,17.3,10,5,2023-08-19T06:15:55,2023-08-19T19:55:50,61.9,partly-cloudy-day
2023-08-20,32.9,22.1,26.9,33.5,22.1,27.4,69.9,0,0,0,,0,0,59.4,56.4,1012.7,18.4,10.2,203.5,17.5,8,5,2023-08-20T06:16:55,2023-08-20T19:54:23,61.5,clear-day
2023-08-21,33.9,23,27,34.5,23,27.7,72.6,0,0,0,,0,0,50,59.3,1013,33.9,10.1,196.7,17,8,10,2023-08-21T06:17:54,2023-08-21T19:52:54,61.2,partly-cloudy-day
2023-08-22,35.9,23,27.7,34.7,23,27.9,67.2,0,0,0,,0,0,56.9,55.5,1014.2,12.2,10.1,197.4,16.9,8,10,2023-08-22T06:18:53,2023-08-22T19:51:25,60.9,clear-day
2023-08-23,33.1,23.1,27.4,34.6,23.1,28.2,70.8,0,0,0,,0,0,56.5,58.3,1013.7,21,9.9,183.4,15.5,8,10,2023-08-23T06:19:53,2023-08-23T19:49:54,60.6,partly-cloudy-day
2023-08-24,31.9,23,26.4,33.5,23,27.1,73.9,0,0,0,,0,0,50,57.8,1013.3,20.9,10.1,282.8,24.5,9,30,2023-08-24T06:20:52,2023-08-24T19:48:23,60.2,partly-cloudy-day
2023-08-25,32.9,22.1,26.3,33.5,22.1,26.7,69.5,0,0,0,,0,0,53.3,57.6,1013.2,29.2,10.2,279.4,24.1,8,10,2023-08-25T06:21:52,2023-08-25T19:46:51,59.9,partly-cloudy-day
2023-08-26,33,22.1,26.5,33.5,22.1,26.5,63.4,0,0,0,,0,0,64.8,54.8,1011.9,2.8,10.2,282.3,24.5,9,10,2023-08-26T06:22:51,2023-08-26T19:45:19,59.5,clear-day
2023-08-27,30,22.1,25.3,31.9,22.1,25.9,71.3,0,0,0,,0,0,56.2,55.7,1009.5,56,10.1,253.3,21.8,8,8,2023-08-27T06:23:50,2023-08-27T19:43:45,59.2,partly-cloudy-day
2023-08-28,30,20.1,24.7,31.3,20.1,25,72.2,0,0,0,,0,0,42.1,58.7,1009.1,38.7,10.1,162,13.8,10,10,2023-08-28T06:24:49,2023-08-28T19:42:11,58.8,partly-cloudy-day
2023-08-29,33,21.1,26.4,33.7,21.1,26.7,68.6,0,0,0,,0,0,37.1,60.7,1006.2,18.8,9.7,197.4,17.1,8,5,2023-08-29T06:25:49,2023-08-29T19:40:36,58.5,clear-day
2023-08-30,33.8,21.1,27.3,33.2,21.1,27.4,61.5,0,0,0,,0,0,29.5,252.4,1005.3,1.5,10.2,198.4,17.1,8,10,2023-08-30T06:26:48,2023-08-30T19:39:01,58.1,clear-day
2023-08-31,32.9,24,28.2,31.5,24,28,52.7,0,0,0,,0,0,31.3,250.6,1010.3,18.9,10,217,18.8,8,10,2023-08-31T06:27:47,2023-08-31T19:37:25,57.8,clear-day
2023-09-01,30,23.1,26.2,31.3,23.1,26.6,67.8,0.009,100,4.17,rain,0,0,42.5,46.6,1014.8,57.2,10.2,173.8,14.9,9,30,2023-09-01T06:28:46,2023-09-01T19:35:48,57.4,rain
2023-09-02,30,22.1,25.5,30.9,22.1,26,73.4,0,0,0,,0,0,51.8,56.2,1016.2,62.3,10.2,103.7,8.8,8,30,2023-09-02T06:29:45,2023-09-02T19:34:11,57,partly-cloudy-day
2023-09-03,28.8,21.1,23.9,29.7,21.1,24,74,2.127,100,16.67,rain,0,0,51.1,57.2,1015.6,62.1,10.1,181.9,15.7,8,10,2023-09-03T06:30:44,2023-09-03T19:32:33,56.7,rain
2023-09-04,28.1,18.1,23.4,28.1,18.1,23.4,63.4,0,0,0,,0,0,43.9,60.8,1010.9,40.2,10.2,208.8,18.2,8,10,2023-09-04T06:31:43,2023-09-04T19:30:55,56.3,partly-cloudy-day
2023-09-05,28.9,22,24.8,30.2,22,25.2,70.2,0,0,0,rain,0,0,49.8,58.4,1010.8,58.7,10.2,107.9,9.5,9,30,2023-09-05T06:32:42,2023-09-05T19:29:16,56,partly-cloudy-day
2023-09-06,29,22.1,24.7,29.9,22.1,24.9,72.7,0.008,100,4.17,rain,0,0,61.6,58.1,1015.7,72.8,10.2,202.3,17.6,7,10,2023-09-06T06:33:41,2023-09-06T19:27:37,55.6,rain
2023-09-07,28.9,22.1,24.5,29.8,22.1,24.7,70.6,0,0,0,,0,0,56.9,56.6,1016.6,62.3,10.2,244.5,20.9,8,10,2023-09-07T06:34:40,2023-09-07T19:25:58,55.2,partly-cloudy-day
2023-09-08,27,22.1,24.1,27.5,22.1,24.1,64.8,0,0,0,rain,0,0,54.4,54.9,1016,83.5,10.2,97.7,8.4,4,10,2023-09-08T06:35:39,2023-09-08T19:24:18,54.8,partly-cloudy-day
2023-09-09,27.1,18.1,22.4,27.2,18.1,22.4,61.8,0,0,0,,0,0,57.6,56.9,1015.6,31.6,10.2,166.2,14.5,9,10,2023-09-09T06:36:38,2023-09-09T19:22:38,54.5,partly-cloudy-day
2023-09-10,27,18,22.2,27,18,22.2,61.6,0,0,0,,0,0,53.6,60.5,1015.7,35.2,10.2,216.9,18.7,8,10,2023-09-10T06:37:37,2023-09-10T19:20:57,54.1,partly-cloudy-day
2023-09-11,26,17.1,21.1,26,17.1,21.1,63.4,0,0,0,,0,0,47.5,59.8,1015.6,49.5,10.2,212,18.1,9,10,2023-09-11T06:38:35,2023-09-11T19:19:16,53.7,partly-cloudy-day
2023-09-12,27,18,21.6,26.5,18,21.6,60.2,0,0,0,,0,0,44.6,59.4,1016.6,25.7,10.2,190.1,16.4,8,10,2023-09-12T06:39:34,2023-09-12T19:17:35,53.3,partly-cloudy-day
2023-09-13,27,16.1,21.3,26.9,16.1,21.3,63.2,0,0,0,,0,0,41.4,57.7,1017.8,4.2,10.2,210.5,18.2,8,10,2023-09-13T06:40:33,2023-09-13T19:15:54,52.9,clear-day
2023-09-14,29,15.1,21.8,28.2,15.1,21.7,61.4,0,0,0,,0,0,36,62.8,1016.5,7.3,10.2,206.1,17.9,8,10,2023-09-14T06:41:32,2023-09-14T19:14:13,52.6,clear-day
2023-09-15,28.8,14.2,21.3,28,14.2,21.2,68.2,0,0,0,,0,0,41.4,53.9,1016.7,15.2,10.2,240.7,20.8,8,10,2023-09-15T06:42:31,2023-09-15T19:12:31,52.2,clear-day
2023-09-16,27,17.1,21.9,27.5,17.1,22,72.9,0,0,0,,0,0,46.1,57.5,1018.1,30.1,9.7,238.8,20.7,8,10,2023-09-16T06:43:31,2023-09-16T19:10:49,51.8,partly-cloudy-day
2023-09-17,28.1,19.1,22.3,28.1,19.1,22.3,70.7,0,0,0,,0,0,51.8,56.8,1018.4,40.1,10.2,173,15,8,10,2023-09-17T06:44:30,2023-09-17T19:09:07,51.4,partly-cloudy-day
2023-09-18,25.9,16.2,20.7,25.9,16.2,20.7,62.5,0,0,0,,0,0,52.9,61,1017.5,43.1,10.2,200.8,17.3,6,10,2023-09-18T06:45:29,2023-09-18T19:07:25,51,partly-cloudy-day
2023-09-19,26.9,16.2,21.2,26.9,16.2,21.2,64.6,0,0,0,,0,0,46.4,57.2,1015.9,36.4,10.1,173.2,15,8,10,2023-09-19T06:46:28,2023-09-19T19:05:43,50.6,partly-cloudy-day
2023-09-20,26,14.2,20.2,26,14.2,20.2,71.5,0,0,0,,0,0,37.1,58,1016.6,40.5,10.2,226.4,19.5,8,10,2023-09-20T06:47:28,2023-09-20T19:04:01,50.2,partly-cloudy-day
2023-09-21,26.8,15.1,20.7,27,15.1,20.7,68,0,0,0,,0,0,33.8,62.3,1016.7,27,10.2,189.7,16.3,7,10,2023-09-21T06:48:27,2023-09-21T19:02:19,49.8,partly-cloudy-day
2023-09-22,28.8,14.1,21.8,27.4,14.1,21.5,55.8,0,0,0,,0,0,18,73,1017.1,6.5,10.2,221.1,19.2,7,10,2023-09-22T06:49:27,2023-09-22T19:00:37,49.4,clear-day
2023-09-23,31.8,18.9,25.2,30.8,18.9,24.7,44.5,0,0,0,,0,0,30.6,58.7,1016.3,5.9,10.2,221.9,19.1,7,10,2023-09-23T06:50:27,2023-09-23T18:58:55,49.1,clear-day
2023-09-24,31.9,18,24.1,31.2,18,23.8,47.1,0,0,0,,0,0,50.8,58.4,1014.3,1,10.2,168.3,14.6,7,10,2023-09-24T06:51:27,2023-09-24T18:57:13,48.7,clear-day
2023-09-25,28,19.1,23,28.6,19.1,23.1,73.6,0,0,0,,0,0,58,58.9,1014.3,52.2,10.2,121.2,10.5,7,10,2023-09-25T06:52:27,2023-09-25T18:55:32,48.3,partly-cloudy-day
2023-09-26,28,20.1,23,28.1,20.1,23.1,74.2,0,0,0,rain,0,0,59.4,56.2,1014.2,50.8,10.1,168.7,14.5,9,10,2023-09-26T06:53:27,2023-09-26T18:53:50,47.9,partly-cloudy-day
2023-09-27,26.9,18.1,22.3,27.7,18.1,22.3,75.7,0.005,100,4.17,rain,0,0,47.5,55,1014.4,56.8,10.1,154.9,13.3,7,10,2023-09-27T06:54:27,2023-09-27T18:52:09,47.5,rain
2023-09-28,26.9,20.1,21.9,27.2,20.1,21.9,80.7,0.362,100,8.33,rain,0,0,24.8,52,1014.8,83.4,9.9,83.4,7.2,5,30,2023-09-28T06:55:28,2023-09-28T18:50:27,47.1,rain
2023-09-29,24.1,18.2,20.9,24.1,18.2,20.9,85,33.234,100,12.5,rain,0,0,22,42.3,1016.4,81.4,8.2,79.8,6.9,6,10,2023-09-29T06:56:29,2023-09-29T18:48:46,46.7,rain
2023-09-30,23.9,18,20.5,23.9,18,20.5,83.2,6.395,100,8.33,rain,0,0,25.9,38.8,1014.8,82.7,10,105.2,9.1,8,10,2023-09-30T06:57:30,2023-09-30T18:47:06,46.3,rain
2023-10-01,20,18,19,20,18,19,89.7,32.904,100,16.67,rain,0,0,40.3,34.7,1013.3,89,9,43.4,3.6,3,10,2023-10-01T06:58:31,2023-10-01T18:45:25,45.9,rain
2023-10-02,21.9,15.2,18.8,21.9,15.2,18.8,77.7,19.117,100,12.5,rain,0,0,41.4,63.7,1018.9,82.5,9.5,172.7,15,6,10,2023-10-02T06:59:32,2023-10-02T18:43:45,45.5,rain
2023-10-03,23,13.2,18.1,23,13.2,18.1,70.5,0.003,100,4.17,rain,0,0,36.7,58.3,1023.3,50.2,10.1,177.6,15.4,7,10,2023-10-03T07:00:34,2023-10-03T18:42:06,45.1,rain
2023-10-04,23.9,15,18.7,23.9,15,18.7,62.6,0,0,0,,0,0,27.7,64.4,1022.7,15.3,10.2,204.6,17.9,7,10,2023-10-04T07:01:36,2023-10-04T18:40:26,44.8,clear-day
2023-10-05,24,12.2,18,24,12.2,18,72.2,0,0,0,,0,0,36,59.7,1022.5,25.9,10.2,185.3,16,6,10,2023-10-05T07:02:38,2023-10-05T18:38:48,44.4,partly-cloudy-day
2023-10-06,24,14.1,18.8,24,14.1,18.8,75.5,0,0,0,,0,0,37.1,57.3,1020.8,36.6,10.2,193.7,16.6,7,10,2023-10-06T07:03:41,2023-10-06T18:37:09,44,partly-cloudy-day
2023-10-07,25,17,20,25,17,20,72.2,0,0,0,rain,0,0,33.8,58.7,1021.5,43.7,10.2,145.5,12.6,7,10,2023-10-07T07:04:43,2023-10-07T18:35:31,43.6,partly-cloudy-day
